Date,Close/Last,Volume,Open,High,Low
02/05/2021,$44.8,21946260,$54.02,$64.83,$44.2517
02/04/2021,$63.43,47469410,$100.772,$117.54,$63.01
02/03/2021,$87.95,54517330,$62.74,$90,$59.5
02/02/2021,$55.44,76134960,$33.39,$74.5,$32.06
02/01/2021,$22.99,3274076,$20.5,$23.53,$19.01
01/29/2021,$19.82,2317440,$19.37,$20.53,$18.33
01/28/2021,$18.72,3287833,$20.38,$22.1999,$17.15
01/27/2021,$19.75,7070231,$19.49,$23.7,$17.35
01/26/2021,$19.43,7685455,$15.434,$20.58,$14.48
01/25/2021,$15.68,4256649,$13.62,$15.7998,$13.22
01/22/2021,$12.87,2994814,$11.75,$13.7805,$11.71
01/21/2021,$12.08,1407972,$12.48,$12.48,$11.64
01/20/2021,$12.24,2395398,$12.605,$13.29,$11.77
01/19/2021,$12.97,5353275,$11.167,$13.68,$10.9
01/15/2021,$10.57,2297434,$10.38,$10.989,$9.9801
01/14/2021,$10.48,5775303,$11.44,$11.48,$9.695
01/13/2021,$11.45,24965180,$8.31,$12.99,$8.17
01/12/2021,$8.18,839954,$8.37,$8.5799,$8.06
01/11/2021,$8.29,1046986,$8.38,$8.67,$8.22
01/08/2021,$8.38,911877,$8.434,$8.62,$8.19
01/07/2021,$8.42,1176155,$8.38,$8.53,$8.15
01/06/2021,$8.18,2486984,$7.77,$8.6,$7.75
01/05/2021,$7.68,2619919,$7.09,$7.74,$6.8909
01/04/2021,$7.09,937934,$6.84,$7.27,$6.78
12/31/2020,$6.82,1040174,$7.05,$7.05,$6.7186
12/30/2020,$7.01,808321,$6.86,$7.0984,$6.73
12/29/2020,$6.79,1735018,$7.18,$7.2,$6.7
12/28/2020,$7.17,1123475,$7.52,$7.55,$7.1
12/24/2020,$7.46,516498,$7.75,$7.84,$7.42
12/23/2020,$7.64,874951,$7.56,$7.845,$7.45
12/22/2020,$7.57,1589097,$7.85,$7.9,$7.37
12/21/2020,$7.83,1252702,$7.95,$8.08,$7.68
12/18/2020,$8.04,2433982,$8.39,$8.47,$8.03
12/17/2020,$8.41,1752057,$8,$8.525,$7.86
12/16/2020,$7.93,1029799,$8.02,$8.12,$7.75
12/15/2020,$8.05,1212376,$7.89,$8.12,$7.76
12/14/2020,$7.76,1346043,$8.15,$8.21,$7.74
